PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email,LLM Summary
40079240,Positive susceptibility-based contrast imaging with dephased balanced steady-state free precession.,2025 Mar 13,"Faust JF, Speier P, Krafft AJ, Patil S, Seethamraju RT, Ladd ME, Maier F",", , , , , , ",Not Available,Summary not available due to quota limits.
40079232,A dual-purification system to isolate mitochondrial subpopulations.,2025 Mar 13,"Cunningham CN, Van Vranken JG, Larios J, Heyden K, Gygi SP, Rutter J",", , , , , ",Not Available,Summary not available due to quota limits.
40079228,"Radiological risk assessment due to radon in bottled drinking water sold in Kahramanmaraş town, Turkiye.",2025 Mar 13,"Gümbür S, Küçükönder E",", ",Not Available,Summary not available due to quota limits.
40079227,Organelle-targeted BODIPY-conjugated platinum(IV) anticancer prodrugs for overcoming drug resistance.,2025 Mar 13,"Xu Y, Zhang F, Li M, Zhang H, Yuan Y, Lin S, Yao L, Xu S, Yuan T, Yao H",", , , , , , , , , ",Not Available,Summary not available due to quota limits.
40079211,Electrochemical biosensing in oncology: a review advancements and prospects for cancer diagnosis.,2025 Dec,"Noreen S, Ishaq I, Saleem MH, Ali B, Muhammad Ali S, Iqbal J",", , , , , ",Not Available,Summary not available due to quota limits.
40079203,Controversy and multiple roles of the solitary nucleus receptor Nur77 in disease and physiology.,2025 Mar 31,"Wang Y, Li N, Guan W, Wang D",", , , ",Not Available,Summary not available due to quota limits.
40079200,Identification and validation of transcriptome-wide association study-derived genes as potential druggable targets for osteoarthritis.,2025 Mar 13,"Zhou X, Ye X, Yao J, Lin X, Weng Y, Huang Y, Lu Y, Shang J, Nong L",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40079196,Exploring the impact of RPN1 on tumorigenesis and immune response in cancer.,2025 Mar 31,"Luo P, Li Z, He H, Tang Y, Zeng L, Luo L, Ouyang L, Wen M, Li Y, Jiang Y",", , , , , , , , , ",Not Available,Summary not available due to quota limits.
40079180,"Design, synthesis and biological evaluation of pyrazolo[3,4-b]pyridine derivatives as dual CDK2/PIM1 inhibitors with potent anti-cancer activity and selectivity.",2025 Mar 13,"Elkotamy MS, Elgohary MK, Alkabbani MA, Binjubair FA, Alanazi MM, Alsulaimany M, Al-Rashood ST, Ghabbour HA, Abdel-Aziz HA",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40079167,Developing and Implementing a Colorectal Cancer Screening Program in Uganda: Stakeholder Perceived Barriers and Opportunities.,2025 Mar,"Matovu N, Coleman HG, Mutungi G, Donnelly M, Lohfeld L, Johnston BT, Loughrey MB, Mugisha NM, McShane CM",", , , , , , , , ",Not Available,Summary not available due to quota limits.
40079126,Development of a Calreticulin-targeting Glycan Ligand Based on a Hybrid Binding Concept.,2025 Mar 13,"Kuribara T, Kojima T, Kobayashi Y, Hirose M, Shibayama K, Takeda Y, Totani K",", , , , , , ",Not Available,Summary not available due to quota limits.
40079116,Intratumoral Injection of R848 and Poly(I:C) Synergistically Promoted Antitumour Immune Responses by Reprogramming Macrophage Polarization and Activating DCs in Lung Cancer.,2025 Mar 13,"Chen S, Li L, Yuan H, Gui H, Wan Q, Wang M, Lv H, Wang C, Zhu L, Nie Y, Zhang X",", , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40079115,Cascade-Responsive Nanoprodrug Disrupts Immune-Fibroblast Communications for Potentiated Cancer Mechanoimmunotherapy.,2025 Mar 13,"Guan X, Shen Y, Zhao C, Li X, Li X, Lu D, Wang L, Liu L, Wu S, Huang B, Guo L, Xu H",", , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
40079105,Impact of hematopoietic cell transplantation and quizartinib in newly diagnosed patients with acute myeloid leukemia and FMS-like tyrosine kinase 3-internal tandem duplications in the QuANTUM-First trial.,2025 Mar 13,"Schlenk RF, Montesinos P, Kim HJ, Romero-Aguilar A, Vrhovac R, Patkowska E, Žak P, Wang PN, Hanyok J, Liu L, Kamel YM, Imadalou K, Lesegretain A, Cortes J, Sekeres MA, Dombret H, Amadori S, Wang J, Perl AE, Levis MJ, Erba HP",", , , , , , , , , , , , , , , , , , , , ",Not Available,Summary not available due to quota limits.
